char,target,type
เ,True,w
อ,False,c
ก,False,c
ส,False,c
า,False,v
ร,False,c
ป,True,c
ร,False,c
ะ,False,v
ก,False,c
อ,False,c
บ,False,c
ท,True,c
า,False,v
ง,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ก,False,c
า,False,v
ร,False,c
 ,True,p
ใ,True,w
น,False,c
ก,True,c
า,False,v
ร,False,c
ป,True,c
ร,False,c
ะ,False,v
ช,False,c
ุ,False,v
ม,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ก,False,c
า,False,v
ร,False,c
ร,True,c
ั,False,o
ฐ,False,c
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
แ,True,w
ล,False,c
ะ,False,v
ร,True,c
ั,False,o
ฐ,False,c
ป,False,c
ร,False,c
ะ,False,v
ศ,False,c
า,False,v
ส,False,c
น,False,c
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
แ,True,w
ห,False,n
่,False,t
ง,False,c
ช,True,c
า,False,v
ต,False,c
ิ,False,v
 ,True,p
ค,True,c
ร,False,c
ั,False,o
้,False,t
ง,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
๔,True,d
 ,True,p
ว,True,c
ั,False,o
น,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
๒,True,d
 ,True,p
ธ,True,c
ั,False,o
น,False,c
ว,False,c
า,False,v
ค,False,c
ม,False,c
 ,True,p
พ,True,c
.,False,s
ศ,False,c
.,False,s
 ,True,p
๒,True,d
๕,False,d
๔,False,d
๖,False,d
ป,True,c
ร,False,c
ะ,False,v
เ,False,w
ด,False,c
็,False,o
น,False,c
ย,True,c
่,False,t
อ,False,c
ย,False,c
 ,True,p
ก,True,c
า,False,v
ร,False,c
พ,True,c
ั,False,o
ฒ,False,c
น,False,c
า,False,v
ร,True,c
ะ,False,v
บ,False,c
บ,False,c
ร,True,c
า,False,v
ช,False,c
ก,False,c
า,False,v
ร,False,c
ไ,True,w
ท,False,c
ย,False,c
บ,True,c
ท,False,c
ค,False,c
ว,False,c
า,False,v
ม,False,c
ท,True,c
า,False,v
ง,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ก,False,c
า,False,v
ร,False,c
เ,True,w
ร,False,c
ื,False,v
่,False,t
อ,False,c
ง,False,c
"""",True,q
 ,True,p
ก,True,c
ฎ,False,c
ห,False,n
ม,False,c
า,False,v
ย,False,c
ก,True,c
ั,False,o
บ,False,c
ก,True,c
า,False,v
ร,False,c
ป,True,c
ฏ,False,c
ิ,False,v
ร,False,c
ู,False,v
ป,False,c
ร,True,c
ะ,False,v
บ,False,c
บ,False,c
ร,True,c
า,False,v
ช,False,c
ก,False,c
า,False,v
ร,False,c
 ,True,p
"""",True,q
ไ,True,w
พ,False,c
ส,False,c
ิ,False,v
ฐ,False,c
 ,False,p
พ,False,c
า,False,v
ณ,False,c
ิ,False,v
ช,False,c
ย,False,c
์,False,s
ก,False,c
ุ,False,v
ล,False,c
ส,True,c
า,False,v
ข,False,c
า,False,v
ว,True,c
ิ,False,v
ช,False,c
า,False,v
น,True,c
ิ,False,v
ต,False,c
ิ,False,v
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
 ,True,p
ภ,True,c
า,False,v
ค,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ร,True,c
ั,False,o
ฐ,False,c
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
ค,True,c
ณ,False,c
ะ,False,v
ส,False,c
ั,False,o
ง,False,c
ค,False,c
ม,False,c
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
 ,True,p
ม,True,c
ห,False,n
า,False,v
ว,False,c
ิ,False,v
ท,False,c
ย,False,c
า,False,v
ล,False,c
ั,False,o
ย,False,c
เ,False,w
ช,False,c
ี,False,v
ย,False,c
ง,False,c
ใ,False,w
ห,False,n
ม,False,c
่,False,t
ข,True,c
้,False,t
อ,False,c
เ,True,w
ส,False,c
น,False,c
อ,False,c
ใ,True,w
น,False,c
บ,True,c
ท,False,c
ค,False,c
ว,False,c
า,False,v
ม,False,c
น,True,c
ี,False,v
้,False,t
ม,True,c
ี,False,v
ล,True,c
ั,False,o
ก,False,c
ษ,False,c
ณ,False,c
ะ,False,v
ท,True,c
ี,False,v
่,False,t
เ,True,w
ป,False,c
็,False,o
น,False,c
 ,True,p
c,True,s_e
o,False,s_e
n,False,s_e
c,False,s_e
e,False,s_e
p,False,s_e
t,False,s_e
 ,True,p
p,True,s_e
a,False,s_e
p,False,s_e
e,False,s_e
r,False,s_e
 ,True,p
ด,True,c
ั,False,o
ง,False,c
น,True,c
ั,False,o
้,False,t
น,False,c
ใ,True,w
น,False,c
ห,True,n
ล,False,c
า,False,v
ย,False,c
ๆ,True,s
ส,True,c
่,False,t
ว,False,c
น,False,c
ข,True,c
อ,False,c
ง,False,c
เ,True,w
น,False,c
ื,False,v
้,False,t
อ,False,c
ห,False,n
า,False,v
ใ,True,w
น,False,c
บ,True,c
ท,False,c
ค,False,c
ว,False,c
า,False,v
ม,False,c
อ,True,c
า,False,v
จ,False,c
จ,True,c
ะ,False,v
ต,True,c
้,False,t
อ,False,c
ง,False,c
ใ,True,w
ช,False,c
้,False,t
เ,True,w
ว,False,c
ล,False,c
า,False,v
ใ,True,w
น,False,c
ก,True,c
า,False,v
ร,False,c
ว,True,c
ิ,False,v
เ,False,w
ค,False,c
ร,False,c
า,False,v
ะ,False,v
ห,False,n
์,False,s
ม,True,c
า,False,v
ก,False,c
ข,True,c
ึ,False,v
้,False,t
น,False,c
ใ,True,w
น,False,c
ส,True,c
่,False,t
ว,False,c
น,False,c
ท,True,c
ี,False,v
่,False,t
บ,True,c
ก,False,c
พ,False,c
ร,False,c
่,False,t
อ,False,c
ง,False,c
เ,True,w
ป,False,c
็,False,o
น,False,c
ค,True,c
ว,False,c
า,False,v
ม,False,c
ร,True,c
ั,False,o
บ,False,c
ผ,False,n
ิ,False,v
ด,False,c
ช,False,c
อ,False,c
บ,False,c
ข,True,c
อ,False,c
ง,False,c
ผ,True,n
ู,False,v
้,False,t
เ,True,w
ข,False,c
ี,False,v
ย,False,c
น,False,c
แ,True,w
ต,False,c
่,False,t
เ,True,w
พ,False,c
ี,False,v
ย,False,c
ง,False,c
ผ,True,n
ู,False,v
้,False,t
เ,True,w
ด,False,c
ี,False,v
ย,False,c
ว,False,c
(,True,o
บ,True,c
ท,False,c
ค,False,c
ว,False,c
า,False,v
ม,False,c
น,True,c
ี,False,v
้,False,t
ย,True,c
า,False,v
ว,False,c
ป,True,c
ร,False,c
ะ,False,v
ม,False,c
า,False,v
ณ,False,c
 ,True,p
1,True,d
8,False,d
 ,True,p
ห,True,n
น,False,c
้,False,t
า,False,v
ก,True,c
ร,False,c
ะ,False,v
ด,False,c
า,False,v
ษ,False,c
 ,True,p
A,True,b_e
4,True,d
),True,o
ค,True,c
ว,False,c
า,False,v
ม,False,c
น,True,c
ำ,False,v
ใ,True,w
น,False,c
ส,True,c
อ,False,c
ง,False,c
ส,False,c
า,False,v
ม,False,c
ท,True,c
ศ,False,c
ว,False,c
ร,False,c
ร,False,c
ษ,False,c
ท,True,c
ี,False,v
่,False,t
ผ,True,n
่,False,t
า,False,v
น,False,c
ม,True,c
า,False,v
ข,True,c
้,False,t
อ,False,c
ถ,True,c
ก,False,c
เ,False,w
ถ,False,c
ี,False,v
ย,False,c
ง,False,c
ท,True,c
ี,False,v
่,False,t
เ,True,w
ก,False,c
ี,False,v
่,False,t
ย,False,c
ว,False,c
ก,True,c
ั,False,o
บ,False,c
ว,True,c
่,False,t
า,False,v
 ,True,p
เ,True,w
ม,False,c
ื,False,v
่,False,t
อ,False,c
ไ,True,w
ม,False,c
่,False,t
ส,True,c
า,False,v
ม,False,c
า,False,v
ร,False,c
ถ,False,c
ท,True,c
ี,False,v
่,False,t
จ,True,c
ะ,False,v
ใ,True,w
ช,False,c
้,False,t
ห,True,n
ล,False,c
ั,False,o
ก,False,c
น,True,c
ิ,False,v
ต,False,c
ิ,False,v
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
ไ,True,w
ด,False,c
้,False,t
แ,True,w
ล,False,c
้,False,t
ว,False,c
ก,True,c
็,False,o
ค,True,c
ว,False,c
ร,False,c
ท,True,c
ี,False,v
่,False,t
จ,True,c
ะ,False,v
น,True,c
ำ,False,v
ห,True,n
ล,False,c
ั,False,o
ก,False,c
ร,True,c
ั,False,o
ฐ,False,c
ศ,False,c
า,False,v
ส,False,c
ต,False,c
ร,False,c
์,False,s
ม,True,c
า,False,v
ใ,True,w
ช,False,c
้,False,t
 ,True,p
น,True,c
ั,False,o
บ,False,c
ว,True,c
่,False,t
า,False,v
เ,True,w
ป,False,c
็,False,o
น,False,c
ป,True,c
ั,False,o
ญ,False,c
ห,False,n
า,False,v
ใ,True,w
ห,False,n
ญ,False,c
่,False,t
ป,True,c
ร,False,c
ะ,False,v
ก,False,c
า,False,v
ร,False,c
ห,True,n
น,False,c
ึ,False,v
่,False,t
ง,False,c
ข,True,c
อ,False,c
ง,False,c
ร,True,c
ะ,False,v
บ,False,c
บ,False,c
ร,True,c
า,False,v
ช,False,c
ก,False,c
า,False,v
ร,False,c
ไ,True,w
ท,False,c
ย,False,c
 ,True,p
แ,True,w
ล,False,c
ะ,False,v
ย,True,c
ั,False,o
ง,False,c
ส,True,c
่,False,t
ง,False,c
ผ,True,n
ล,False,c
ไ,True,w
ป,False,c
ถ,True,c
ึ,False,v
ง,False,c
ก,True,c
า,False,v
ร,False,c
อ,True,c
้,False,t
า,False,v
ง,False,c
ข,True,c
้,False,t
อ,False,c
ถ,True,c
ก,False,c
เ,False,w
ถ,False,c
ี,False,v
ย,False,c
ง,False,c
ใ,True,w
น,False,c
ล,True,c
ั,False,o
ก,False,c
ษ,False,c
ณ,False,c
ะ,False,v
ท,True,c
ี,False,v
่,False,t
เ,True,w
ป,False,c
็,False,o
น,False,c
ก,True,c
า,False,v
ร,False,c
ป,True,c
ก,False,c
ป,False,c
้,False,t
อ,False,c
ง,False,c
ส,True,c
ถ,False,c
า,False,v
บ,False,c
ั,False,o
น,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ช,True,c
ี,False,v
พ,False,c
 ,True,p
แ,True,w
ล,False,c
ะ,False,v
ส,True,c
ถ,False,c
า,False,v
บ,False,c
ั,False,o
น,False,c
ก,True,c
า,False,v
ร,False,c
ศ,True,c
ึ,False,v
ก,False,c
ษ,False,c
า,False,v
 ,True,p
ซ,True,c
ึ,False,v
่,False,t
ง,False,c
ม,True,c
ุ,False,v
่,False,t
ง,False,c
ท,True,c
ี,False,v
่,False,t
จ,True,c
ะ,False,v
ส,True,c
ร,False,c
้,False,t
า,False,v
ง,False,c
ร,True,c
ะ,False,v
บ,False,c
บ,False,c
อ,True,c
ุ,False,v
ป,False,c
ถ,False,c
ั,False,o
ม,False,c
ภ,False,c
์,False,s
ข,True,c
ึ,False,v
้,False,t
น,False,c
ใ,True,w
น,False,c
ส,True,c
า,False,v
ย,False,c
ง,True,c
า,False,v
น,False,c
ท,True,c
ั,False,o
้,False,t
ง,False,c
ท,True,c
ี,False,v
่,False,t
อ,False,c
ย,False,c
ู,False,v
่,False,t
ใ,True,w
น,False,c
ภ,True,c
า,False,v
ค,False,c
ร,True,c
ั,False,o
ฐ,False,c
แ,True,w
ล,False,c
ะ,False,v
ภ,True,c
า,False,v
ค,False,c
เ,True,w
อ,False,c
ก,False,c
ช,False,c
น,False,c
 ,True,p
ภ,True,c
า,False,v
ว,False,c
ะ,False,v
เ,True,w
ช,False,c
่,False,t
น,False,c
น,True,c
ี,False,v
้,False,t
เ,True,w
ป,False,c
็,False,o
น,False,c
ป,True,c
ั,False,o
ญ,False,c
ห,False,n
า,False,v
ท,True,c
ี,False,v
่,False,t
ม,True,c
ี,False,v
อ,True,c
ย,False,c
ู,False,v
่,False,t
ท,True,c
ั,False,o
่,False,t
ว,False,c
ไ,False,w
ป,False,c
ส,True,c
ภ,False,c
า,False,v
ว,False,c
ะ,False,v
ข,True,c
้,False,t
า,False,v
ง,False,c
ต,True,c
้,False,t
น,False,c
 ,True,p
ส,True,c
า,False,v
ม,False,c
า,False,v
ร,False,c
ถ,False,c
ส,True,c
ะ,False,v
ท,False,c
้,False,t
อ,False,c
น,False,c
อ,True,c
า,False,v
ก,False,c
า,False,v
ร,False,c
ข,True,c
อ,False,c
ง,False,c
โ,True,w
ร,False,c
ค,False,c
บ,True,c
้,False,t
า,False,v
ง,False,c
ป,True,c
ร,False,c
ะ,False,v
ก,False,c
า,False,v
ร,False,c
ใ,True,w
น,False,c
แ,True,w
ว,False,c
ด,False,c
ว,False,c
ง,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ก,False,c
า,False,v
ร,False,c
ท,True,c
ี,False,v
่,False,t
น,True,c
ำ,False,v
ม,True,c
า,False,v
ส,True,c
ู,False,v
่,False,t
ป,True,c
ั,False,o
ญ,False,c
ห,False,n
า,False,v
ใ,True,w
น,False,c
ร,True,c
ะ,False,v
บ,False,c
บ,False,c
ร,True,c
า,False,v
ช,False,c
ก,False,c
า,False,v
ร,False,c
 ,True,p
ส,True,c
ภ,False,c
า,False,v
พ,False,c
เ,True,w
ช,False,c
่,False,t
น,False,c
น,True,c
ี,False,v
้,False,t
 ,True,p
แ,True,w
ท,False,c
น,False,c
ท,True,c
ี,False,v
่,False,t
จ,True,c
ะ,False,v
ม,True,c
ี,False,v
บ,True,c
ร,False,c
ร,False,c
ย,False,c
า,False,v
ก,False,c
า,False,v
ศ,False,c
ข,True,c
อ,False,c
ง,False,c
ก,True,c
า,False,v
ร,False,c
น,True,c
ำ,False,v
ค,True,c
ว,False,c
า,False,v
ม,False,c
ร,True,c
ู,False,v
้,False,t
ห,True,n
ร,False,c
ื,False,v
อ,False,c
ว,True,c
ิ,False,v
ช,False,c
า,False,v
ก,False,c
า,False,v
ร,False,c
น,True,c
ำ,False,v
ก,True,c
า,False,v
ร,False,c
ป,True,c
ฎ,False,c
ิ,False,v
บ,False,c
ั,False,o
ต,False,c
ิ,False,v
 ,True,p
ก,True,c
็,False,o
ก,True,c
ล,False,c
า,False,v
ย,False,c
เ,True,w
ป,False,c
็,False,o
น,False,c
ต,True,c
่,False,t
า,False,v
ง,False,c
ฝ,True,o
่,False,t
า,False,v
ย,False,c
ต,True,c
่,False,t
า,False,v
ง,False,c
ท,True,c
ำ,False,v
โ,True,w
ด,False,c
ย,False,c
ไ,True,w
ม,False,c
่,False,t
ร,True,c
ู,False,v
้,False,t
ส,False,c
ึ,False,v
ก,False,c
อ,True,c
ะ,False,v
ไ,False,w
ร,False,c
ม,True,c
า,False,v
ก,False,c
น,True,c
ั,False,o
ก,False,c
 ,True,p
ท,True,c
ั,False,o
้,False,t
ง,False,c
ๆ,False,s
 ,False,p
ท,False,c
ี,False,v
่,False,t
ท,True,c
ุ,False,v
ก,False,c
ค,True,c
น,False,c
ท,True,c
ี,False,v
่,False,t
เ,True,w
ก,False,c
ี,False,v
่,False,t
ย,False,c
ว,False,c
ข,False,c
้,False,t
อ,False,c
ง,False,c
 ,True,p
ล,True,c
้,False,t
ว,False,c
น,False,c
แ,True,w
ล,False,c
้,False,t
ว,False,c
แ,False,w
ต,False,c
่,False,t
เ,True,w
ป,False,c
็,False,o
