char,target,type
﻿,True,o
เ,False,w
ม,False,c
ื,False,v
่,False,t
อ,False,c
ช,True,c
ู,False,v
ช,False,c
ก,False,c
เ,True,w
ฒ,False,c
่,False,t
า,False,v
จ,True,c
ะ,False,v
เ,True,w
ด,False,c
ิ,False,v
น,False,c
ท,False,c
า,False,v
ง,False,c
ไ,True,w
ป,False,c
ท,True,c
ู,False,v
ล,False,c
ข,True,c
อ,False,c
ก,True,c
ั,False,o
ณ,False,c
ห,False,n
า,False,v
 ,True,p
ช,True,c
า,False,v
ล,False,c
ี,False,v
 ,True,p
จ,True,c
า,False,v
ก,False,c
พ,True,c
ร,False,c
ะ,False,v
เ,False,w
ว,False,c
ส,False,c
ส,False,c
ั,False,o
น,False,c
ด,False,c
ร,False,c
 ,True,p
น,True,c
า,False,v
ง,False,c
อ,False,c
ม,False,c
ิ,False,v
ต,False,c
ต,False,c
ด,False,c
า,False,v
ไ,True,w
ด,False,c
้,False,t
เ,True,w
ต,False,c
ร,False,c
ี,False,v
ย,False,c
ม,False,c
เ,True,w
ส,False,c
บ,False,c
ี,False,v
ย,False,c
ง,False,c
อ,True,c
า,False,v
ห,False,n
า,False,v
ร,False,c
ส,True,c
ำ,False,v
ห,False,n
ร,False,c
ั,False,o
บ,False,c
เ,True,w
ด,False,c
ิ,False,v
น,False,c
ท,False,c
า,False,v
ง,False,c
ไ,True,w
ก,False,c
ล,False,c
ไ,True,w
ป,False,c
ใ,True,w
น,False,c
ก,True,c
ล,False,c
า,False,v
ง,False,c
ป,True,c
่,False,t
า,False,v
อ,True,c
า,False,v
ห,False,n
า,False,v
ร,False,c
ใ,True,w
น,False,c
ย,True,c
่,False,t
า,False,v
ม,False,c
ข,True,c
อ,False,c
ง,False,c
ช,True,c
ู,False,v
ช,False,c
ก,False,c
น,True,c
ั,False,o
้,False,t
น,False,c
ม,True,c
ี,False,v
บ,True,c
ร,False,c
ร,False,c
ย,False,c
า,False,v
ย,False,c
ไ,True,w
ว,False,c
้,False,t
ใ,True,w
น,False,c
ห,True,n
น,False,c
ั,False,o
ง,False,c
ส,False,c
ื,False,v
อ,False,c
ม,True,c
ห,False,n
า,False,v
เ,False,w
ว,False,c
ส,False,c
ส,False,c
ั,False,o
น,False,c
ด,False,c
ร,False,c
ช,False,c
า,False,v
ด,False,c
ก,False,c
ว,True,c
่,False,t
า,False,v
ด,True,c
ั,False,o
ง,False,c
น,True,c
ี,False,v
้,False,t
.,True,s
.,False,s
.,False,s
ท,True,c
ุ,False,v
ก,False,c
ส,True,c
ิ,False,v
่,False,t
