char,target,type
h,True,s_e
t,False,s_e
t,False,s_e
p,False,s_e
:,False,o
/,False,o
/,False,o
w,False,s_e
w,False,s_e
w,False,s_e
.,False,s
b,False,s_e
a,False,s_e
n,False,s_e
g,False,s_e
k,False,s_e
o,False,s_e
k,False,s_e
h,False,s_e
e,False,s_e
a,False,s_e
l,False,s_e
t,False,s_e
h,False,s_e
.,False,s
c,False,s_e
o,False,s_e
m,False,s_e
/,False,o
h,False,s_e
e,False,s_e
a,False,s_e
l,False,s_e
t,False,s_e
h,False,s_e
n,False,s_e
e,False,s_e
w,False,s_e
s,False,s_e
 ,False,p
_,False,o
 ,False,p
h,False,s_e
t,False,s_e
d,False,s_e
o,False,s_e
c,False,s_e
/,False,o
h,False,s_e
e,False,s_e
a,False,s_e
l,False,s_e
t,False,s_e
h,False,s_e
n,False,s_e
e,False,s_e
w,False,s_e
s,False,s_e
 ,False,p
_,False,o
 ,False,p
d,False,s_e
e,False,s_e
t,False,s_e
a,False,s_e
i,False,s_e
l,False,s_e
.,False,s
a,False,s_e
s,False,s_e
p,False,s_e
?,False,o
N,False,b_e
u,False,s_e
m,False,s_e
b,False,s_e
e,False,s_e
r,False,s_e
=,False,o
1,False,d
0,False,d
1,False,d
2,False,d
2,False,d
ห,True,n
ว,False,c
ั,False,o
ด,False,c
น,True,c
ก,False,c
-,True,o
ย,True,c
ั,False,o
ง,False,c
ไ,True,w
ม,False,c
่,False,t
จ,True,c
บ,False,c
 ,True,p
ด,True,c
ั,False,o
บ,False,c
อ,True,c
ี,False,v
ก,False,c
ร,True,c
า,False,v
ย,False,c
 ,True,p
เ,True,w
ด,False,c
็,False,o
ก,False,c
ช,True,c
า,False,v
ย,False,c
ช,True,c
า,False,v
ว,False,c
ช,True,c
ั,False,o
ย,False,c
ภ,False,c
ู,False,v
ม,False,c
ิ,False,v
ใ,True,w
น,False,c
ข,True,c
ณ,False,c
ะ,False,v
ท,True,c
ี,False,v
่,False,t
ร,True,c
ั,False,o
ฐ,False,c
บ,False,c
า,False,v
ล,False,c
ป,True,c
่,False,t
า,False,v
ว,False,c
ป,False,c
ร,False,c
ะ,False,v
ก,False,c
า,False,v
ศ,False,c
ส,True,c
า,False,v
ม,False,c
า,False,v
ร,False,c
ถ,False,c
ค,True,c
ว,False,c
บ,False,c
ค,False,c
ุ,False,v
ม,False,c
ก,True,c
า,False,v
ร,False,c
แ,True,w
พ,False,c
ร,False,c
่,False,t
ร,True,c
ะ,False,v
บ,False,c
า,False,v
ด,False,c
ข,True,c
อ,False,c
ง,False,c
เ,True,w
ช,False,c
ื,False,v
้,False,t
อ,False,c
ไ,True,w
ข,False,c
้,False,t
ห,True,n
ว,False,c
ั,False,o
ด,False,c
น,True,c
ก,False,c
ไ,True,w
ด,False,c
้,False,t
แ,True,w
ล,False,c
้,False,t
ว,False,c
 ,True,p
แ,True,w
ต,False,c
่,False,t
ช,True,c
า,False,v
ว,False,c
บ,True,c
้,False,t
า,False,v
น,False,c
ใ,True,w
น,False,c
ต,True,c
่,False,t
า,False,v
ง,False,c
จ,True,c
ั,False,o
ง,False,c
ห,False,n
ว,False,c
ั,False,o
ด,False,c
ห,True,n
ล,False,c
า,False,v
ย,False,c
จ,True,c
ุ,False,v
ด,False,c
ย,True,c
ั,False,o
ง,False,c
ห,True,n
ว,False,c
า,False,v
ด,False,c
ผ,False,n
ว,False,c
า,False,v
ไ,True,w
ข,False,c
้,False,t
ห,True,n
ว,False,c
ั,False,o
ด,False,c
น,True,c
ก,False,c
แ,True,w
พ,False,c
ร,False,c
่,False,t
ร,True,c
ะ,False,v
บ,False,c
า,False,v
ด,False,c
ใ,True,w
น,False,c
พ,True,c
ื,False,v
้,False,t
น,False,c
ท,False,c
ี,False,v
่,False,t
 ,True,p
เ,True,w
น,False,c
ื,False,v
่,False,t
อ,False,c
ง,False,c
จ,True,c
า,False,v
ก,False,c
ม,True,c
ี,False,v
น,True,c
ก,False,c
ต,True,c
า,False,v
ย,False,c
โ,True,w
ด,False,c
ย,False,c
ไ,True,w
ม,False,c
่,False,t
ท,True,c
ร,False,c
า,False,v
บ,False,c
ส,True,c
า,False,v
เ,False,w
ห,False,n
ต,False,c
ุ,False,v
 ,True,p
ข,True,c
ณ,False,c
ะ,False,v
เ,True,w
ด,False,c
ี,False,v
ย,False,c
ว,False,c
ก,True,c
ั,False,o
น,False,c
ม,True,c
ี,False,v
ผ,True,n
ู,False,v
้,False,t
เ,True,w
ส,False,c
ี,False,v
ย,False,c
ช,True,c
ี,False,v
ว,False,c
ิ,False,v
ต,False,c
จ,True,c
า,False,v
ก,False,c
เ,True,w
ช,False,c
ื,False,v
้,False,t
อ,False,c
ห,True,n
ว,False,c
ั,False,o
ด,False,c
น,True,c
ก,False,c
เ,True,w
พ,False,c
ิ,False,v
่,False,t
ม,False,c
อ,True,c
ี,False,v
ก,False,c
ร,True,c
า,False,v
ย,False,c
 ,True,p
โ,True,w
ด,False,c
ย,False,c
ผ,True,n
ู,False,v
้,False,t
ส,True,c
ื,False,v
่,False,t
อ,False,c
ข,True,c
่,False,t
า,False,v
ว,False,c
ร,True,c
า,False,v
ย,False,c
ง,False,c
า,False,v
น,False,c
จ,True,c
า,False,v
ก,False,c
 ,True,p
จ,True,c
.,False,s
ช,False,c
ั,False,o
ย,False,c
ภ,False,c
ู,False,v
ม,False,c
ิ,False,v
 ,True,p
เ,True,w
ม,False,c
ื,False,v
่,False,t
อ,False,c
ว,True,c
ั,False,o
น,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
1,True,d
5,False,d
 ,True,p
ก,True,c
.,False,s
พ,False,c
.,False,s
 ,True,p
ว,True,c
่,False,t
า,False,v
 ,True,p
ด,True,c
.,False,s
ช,False,c
.,False,s
เ,False,w
อ,False,c
ก,False,c
พ,False,c
ั,False,o
น,False,c
ธ,False,c
์,False,s
 ,False,p
ป,False,c
้,False,t
อ,False,c
ง,False,c
ข,False,c
ั,False,o
น,False,c
ธ,False,c
์,False,s
 ,True,p
ห,True,n
ร,False,c
ื,False,v
อ,False,c
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
 ,True,p
ว,True,c
ั,False,o
ย,False,c
 ,True,p
1,True,d
1,False,d
 ,True,p
ข,True,c
ว,False,c
บ,False,c
 ,True,p
1,True,d
0,False,d
 ,True,p
เ,True,w
ด,False,c
ื,False,v
อ,False,c
น,False,c
 ,True,p
ช,True,c
า,False,v
ว,False,c
 ,True,p
ต,True,c
.,False,s
บ,True,c
้,False,t
า,False,v
น,False,c
เ,False,w
ด,False,c
ื,False,v
่,False,t
อ,False,c
 ,True,p
อ,True,c
.,False,s
เ,False,w
ก,False,c
ษ,False,c
ต,False,c
ร,False,c
ส,False,c
ม,False,c
บ,False,c
ู,False,v
ร,False,c
ณ,False,c
์,False,s
 ,True,p
ไ,True,w
ด,False,c
้,False,t
เ,True,w
ส,False,c
ี,False,v
ย,False,c
ช,True,c
ี,False,v
ว,False,c
ิ,False,v
ต,False,c
แ,True,w
ล,False,c
้,False,t
ว,False,c
เ,True,w
ม,False,c
ื,False,v
่,False,t
อ,False,c
ค,True,c
่,False,t
ำ,False,v
ว,True,c
ั,False,o
น,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
1,True,d
4,False,d
 ,True,p
ก,True,c
.,False,s
พ,False,c
.,False,s
 ,True,p
ท,True,c
ี,False,v
่,False,t
ผ,True,n
่,False,t
า,False,v
น,False,c
ม,True,c
า,False,v
 ,True,p
ห,True,n
ล,False,c
ั,False,o
ง,False,c
เ,True,w
ข,False,c
้,False,t
า,False,v
ร,True,c
ั,False,o
ก,False,c
ษ,False,c
า,False,v
ต,True,c
ั,False,o
ว,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
ร,True,c
พ,False,c
.,False,s
ห,False,n
น,False,c
อ,False,c
ง,False,c
บ,False,c
ั,False,o
ว,False,c
แ,False,w
ด,False,c
ง,False,c
 ,True,p
ม,True,c
า,False,v
ต,True,c
ั,False,o
้,False,t
ง,False,c
แ,False,w
ต,False,c
่,False,t
ว,True,c
ั,False,o
น,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
2,True,d
6,False,d
 ,True,p
ม,True,c
.,False,s
ค,False,c
.,False,s
 ,True,p
ท,True,c
ี,False,v
่,False,t
ผ,True,n
่,False,t
า,False,v
น,False,c
ม,True,c
า,False,v
แ,True,w
ล,False,c
ะ,False,v
ถ,True,c
ู,False,v
ก,False,c
ส,True,c
่,False,t
ง,False,c
ต,True,c
ั,False,o
ว,False,c
ม,True,c
า,False,v
ย,True,c
ั,False,o
ง,False,c
 ,True,p
ร,True,c
พ,False,c
.,False,s
 ,False,p
จ,False,c
ั,False,o
ง,False,c
ห,False,n
ว,False,c
ั,False,o
ด,False,c
ช,False,c
ั,False,o
ย,False,c
ภ,False,c
ู,False,v
ม,False,c
ิ,False,v
 ,True,p
เ,True,w
ม,False,c
ื,False,v
่,False,t
อ,False,c
ว,True,c
ั,False,o
น,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
1,True,d
 ,True,p
ก,True,c
.,False,s
พ,False,c
.,False,s
 ,True,p
แ,True,w
ล,False,c
ะ,False,v
อ,True,c
ย,False,c
ู,False,v
่,False,t
ใ,True,w
น,False,c
ห,True,n
้,False,t
อ,False,c
ง,False,c
ไ,True,w
อ,False,c
ซ,False,c
ี,False,v
ย,False,c
ู,False,v
ม,True,c
า,False,v
ต,True,c
ล,False,c
อ,False,c
ด,False,c
 ,True,p
ซ,True,c
ึ,False,v
่,False,t
ง,False,c
ก,True,c
่,False,t
อ,False,c
น,False,c
ห,False,n
น,False,c
้,False,t
า,False,v
เ,True,w
ส,False,c
ี,False,v
ย,False,c
ช,True,c
ี,False,v
ว,False,c
ิ,False,v
ต,False,c
 ,True,p
3,True,d
 ,True,p
ว,True,c
ั,False,o
น,False,c
 ,True,p
แ,True,w
พ,False,c
ท,False,c
ย,False,c
์,False,s
พ,True,c
บ,False,c
ว,True,c
่,False,t
า,False,v
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
ม,True,c
ี,False,v
อ,True,c
า,False,v
ก,False,c
า,False,v
ร,False,c
ป,True,c
อ,False,c
ด,False,c
บ,True,c
ว,False,c
ม,False,c
 ,True,p
ไ,True,w
ต,False,c
ว,True,c
า,False,v
ย,False,c
 ,True,p
แ,True,w
ล,False,c
ะ,False,v
ต,True,c
้,False,t
อ,False,c
ง,False,c
ใ,True,w
ช,False,c
้,False,t
เ,True,w
ค,False,c
ร,False,c
ื,False,v
่,False,t
อ,False,c
ง,False,c
ช,True,c
่,False,t
ว,False,c
ย,False,c
ห,True,n
า,False,v
ย,False,c
ใ,False,w
จ,False,c
 ,True,p
ซ,True,c
ึ,False,v
่,False,t
ง,False,c
ท,True,c
า,False,v
ง,False,c
 ,True,p
ร,True,c
พ,False,c
.,False,s
ไ,True,w
ด,False,c
้,False,t
เ,True,w
ร,False,c
ี,False,v
ย,False,c
น,False,c
น,True,c
า,False,v
ย,False,c
ห,False,n
อ,False,c
ม,False,c
ไ,False,w
ก,False,c
ร,False,c
พ,True,c
่,False,t
อ,False,c
ข,True,c
อ,False,c
ง,False,c
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
ไ,True,w
ป,False,c
ร,True,c
ั,False,o
บ,False,c
ค,True,c
ำ,False,v
แ,True,w
น,False,c
ะ,False,v
น,False,c
ำ,False,v
 ,True,p
ใ,True,w
น,False,c
ก,True,c
า,False,v
ร,False,c
น,True,c
ำ,False,v
ศ,True,c
พ,False,c
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
ไ,True,w
ป,False,c
ป,True,c
ร,False,c
ะ,False,v
ก,False,c
อ,False,c
บ,False,c
พ,True,c
ิ,False,v
ธ,False,c
ี,False,v
ท,True,c
า,False,v
ง,False,c
ศ,True,c
า,False,v
ส,False,c
น,False,c
า,False,v
ต,True,c
่,False,t
อ,False,c
ม,True,c
า,False,v
ผ,True,n
ู,False,v
้,False,t
ส,True,c
ื,False,v
่,False,t
อ,False,c
ข,True,c
่,False,t
า,False,v
ว,False,c
เ,True,w
ด,False,c
ิ,False,v
น,False,c
ท,False,c
า,False,v
ง,False,c
ไ,True,w
ป,False,c
ท,True,c
ี,False,v
่,False,t
บ,True,c
้,False,t
า,False,v
น,False,c
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
 ,True,p
พ,True,c
บ,False,c
ว,True,c
่,False,t
า,False,v
พ,True,c
่,False,t
อ,False,c
แ,False,w
ม,False,c
่,False,t
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
น,True,c
ำ,False,v
ต,True,c
ั,False,o
้,False,t
ง,False,c
ศ,True,c
พ,False,c
ล,True,c
ู,False,v
ก,False,c
ช,True,c
า,False,v
ย,False,c
ม,True,c
า,False,v
ต,True,c
ั,False,o
้,False,t
ง,False,c
ไ,True,w
ว,False,c
้,False,t
ท,True,c
ี,False,v
่,False,t
ล,True,c
า,False,v
น,False,c
ข,True,c
้,False,t
า,False,v
ง,False,c
บ,True,c
้,False,t
า,False,v
น,False,c
 ,True,p
ท,True,c
่,False,t
า,False,v
ม,False,c
ก,False,c
ล,False,c
า,False,v
ง,False,c
ค,True,c
ว,False,c
า,False,v
ม,False,c
โ,True,w
ศ,False,c
ก,False,c
เ,False,w
ศ,False,c
ร,False,c
้,False,t
า,False,v
ข,True,c
อ,False,c
ง,False,c
ญ,True,c
า,False,v
ต,False,c
ิ,False,v
ๆ,True,s
 ,True,p
ท,True,c
ี,False,v
่,False,t
ม,False,c
า,False,v
ร,True,c
่,False,t
ว,False,c
ม,False,c
ง,True,c
า,False,v
น,False,c
ร,True,c
า,False,v
ว,False,c
 ,True,p
2,True,d
0,False,d
 ,True,p
ค,True,c
น,False,c
 ,True,p
แ,True,w
ล,False,c
ะ,False,v
จ,True,c
ะ,False,v
ม,True,c
ี,False,v
ก,True,c
า,False,v
ร,False,c
ฌ,True,n
า,False,v
ป,False,c
น,False,c
ก,False,c
ิ,False,v
จ,False,c
ศ,True,c
พ,False,c
น,True,c
้,False,t
อ,False,c
ง,False,c
โ,False,w
ด,False,c
่,False,t
ง,False,c
ใ,True,w
น,False,c
ว,True,c
ั,False,o
น,False,c
ท,True,c
ี,False,v
่,False,t
 ,True,p
1,True,d
6,False,d
 ,True,p
ก,True,c
.,False,s
พ,False,c
.,False,s
 ,True,p
น,True,c
ี,False,v
้,False,t
ท,True,c
ี,False,v
่,False,t
ว,True,c
ั,False,o
ด,False,c
บ,False,c
้,False,t
า,False,v
น,False,c
ห,False,n
น,False,c
อ,False,c
ง,False,c
บ,False,c
ั,False,o
ว,False,c
 ,True,p
โ,True,w
ด,False,c
ย,False,c
น,True,c
า,False,v
ย,False,c
ห,False,n
อ,False,c
ม,False,c
ไ,False,w
ก,False,c
ร,False,c
ก,True,c
ล,False,c
่,False,t
า,False,v
ว,False,c
ว,True,c
่,False,t
า,False,v
 ,True,p
น,True,c
า,False,v
ง,False,c
ส,False,c
ุ,False,v
ด,False,c
า,False,v
ร,False,c
ั,False,o
ต,False,c
น,False,c
์,False,s
 ,False,p
เ,False,w
ก,False,c
ย,False,c
ุ,False,v
ร,False,c
า,False,v
พ,False,c
ั,False,o
น,False,c
ธ,False,c
ุ,False,v
์,False,s
 ,True,p
ร,True,c
ม,False,c
ว,False,c
.,False,s
ส,True,c
า,False,v
ธ,False,c
า,False,v
ร,False,c
ณ,False,c
ส,False,c
ุ,False,v
ข,False,c
 ,True,p
ไ,True,w
ด,False,c
้,False,t
ม,True,c
อ,False,c
บ,False,c
เ,True,w
ง,False,c
ิ,False,v
น,False,c
ช,True,c
่,False,t
ว,False,c
ย,False,c
เ,False,w
ห,False,n
ล,False,c
ื,False,v
อ,False,c
จ,True,c
ำ,False,v
น,False,c
ว,False,c
น,False,c
 ,True,p
5,True,d
 ,True,p
พ,True,c
ั,False,o
น,False,c
บ,True,c
า,False,v
ท,False,c
 ,True,p
ผ,True,n
่,False,t
า,False,v
น,False,c
น,True,c
า,False,v
ย,False,c
ว,False,c
ิ,False,v
ศ,False,c
ิ,False,v
ฏ,False,c
 ,False,p
ต,False,c
ั,False,o
้,False,t
ง,False,c
น,False,c
ภ,False,c
า,False,v
ก,False,c
ร,False,c
